steamAppId,gameName,cost,quantity,enabled,createdAt,firstSeen,lastSeen
2376951,[DLC] Turbo Golf Racing: Space Explorers Galactic,143124,1,true,2026-02-13T18:43:21.605Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1272840,[EU ONLY] Dordogne,66624,2,true,2026-03-15T09:31:52.051Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1793170,[EU ONLY] Racine,27470,2,true,2026-03-15T09:32:56.462Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1231990,[NOT GLOBAL] Gestalt: Steam & Cinder,237824,1,true,2026-04-13T10:46:15.711Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
924970,[US/CA ONLY!] Back 4 Blood,38976,2,true,2026-03-17T14:55:23.220Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
2525380,[US/CA ONLY] Tomb Raider IV-VI Remastered,25421,1,true,2026-03-15T09:36:52.481Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1356140,112 Operator - Call Editor,32000,1,true,2025-10-31T06:43:48.440Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1232150,A Little Golf Journey,195840,1,true,2026-04-29T11:48:35.171Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
852220,Accident,100736,1,true,2026-04-26T13:40:13.884Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
366760,Adorables,42560,1,true,2026-01-06T17:21:00.550Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
2096080,Agent in Depth,27520,1,true,2026-01-06T17:20:07.064Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1812300,Aquatico,155536,1,true,2026-05-02T13:57:27.842Z,2026-05-02T14:00:27.731Z,2026-05-05T00:00:25.220Z
887060,Asterix & Obelix XXL 2,185696,1,true,2026-05-02T13:57:49.836Z,2026-05-02T14:00:27.731Z,2026-05-05T00:00:25.220Z
1261520,Asterix & Obelix XXL: Romastered,125024,1,true,2026-04-18T22:59:59.453Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1671720,Athenian Rhapsody,131200,1,true,2026-04-22T19:13:47.325Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
424250,Balrum,144048,1,true,2026-05-04T13:36:00.682Z,2026-05-04T14:00:20.595Z,2026-05-05T00:00:25.220Z
207020,Bang Bang Racing,70400,3,true,2025-10-31T05:46:16.006Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
49600,Beat Hazard,70912,1,true,2025-11-07T14:48:04.630Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
243120,Betrayer,245056,1,true,2025-11-07T14:53:12.030Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1003890,Blacksad: Under the Skin,204288,1,true,2026-04-27T11:01:46.665Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1158940,Blazing Sails,166704,1,true,2026-04-27T11:02:08.538Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
2825560,Blazing Trail,236652,1,true,2026-02-10T14:55:25.882Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
960090,Bloons TD 6,325544,1,true,2026-01-29T14:39:11.992Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1190820,Booobjz,45569,1,true,2026-03-23T12:24:02.721Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
598780,Boreal Blade,36865,2,true,2026-03-27T16:45:45.613Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
466980,Can't Drive This,132544,1,true,2026-02-01T15:46:52.974Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1354830,Cat Cafe Manager DELUXE,205568,1,true,2026-04-09T12:07:46.892Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1623120,Chaos on Wheels,210656,1,true,2026-02-13T18:37:06.483Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
2283380,Charrua Soccer - Pro Edition,219840,1,true,2026-04-04T11:54:44.324Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
449550,Chicken Invaders 2,210624,1,true,2026-04-04T11:57:39.688Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
377460,Chicken Invaders 3,239872,1,true,2026-04-25T10:46:36.981Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1766740,Choo-Choo Charles,129432,2,true,2026-04-22T19:10:31.276Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
251130,Chroma Squad,86168,1,true,2026-04-26T13:39:52.713Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
397950,Clustertruck,116084,1,true,2026-02-25T20:39:03.409Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
247020,Cook, Serve, Delicious!,49088,1,true,2026-04-02T12:08:38.589Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
386620,Cook, Serve, Delicious! 2!!,62752,1,true,2026-04-11T20:48:03.766Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1061180,Crumble,56384,1,true,2026-02-05T19:54:32.709Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1667400,Cute Cats,36832,1,true,2026-03-08T19:43:18.588Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1814710,Cute Dogs,35200,0,false,2026-01-15T07:59:00.557Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1130410,Cyber Hook,32320,1,true,2026-01-07T18:53:37.522Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
2454890,DEATH IN UNISON,144292,1,true,2026-01-18T17:15:18.651Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
3481320,Deckline,39040,1,true,2026-01-03T18:32:10.353Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
2522660,Deep Under,50880,1,true,2026-01-02T20:17:24.398Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1552080,Deepest Chamber: Resurrection,144352,1,true,2026-04-29T11:48:04.202Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
23600,Depths of Peril,82048,1,true,2026-04-10T15:33:56.764Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1274570,DEVOUR,202664,2,true,2026-02-22T15:34:09.569Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
57800,Doc Clock: The Toasted Sandwich of Time,34304,1,true,2026-04-24T12:05:53.187Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
2937330,DOSMan: Space Aliens in Space!,49920,1,true,2026-01-25T02:51:13.279Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
887820,Double,44352,2,true,2026-04-16T14:48:56.001Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
589670,Double Kick Heroes,75856,1,true,2026-04-18T22:57:52.142Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1897650,Dream Tactics,200000,1,true,2026-03-28T12:19:37.496Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1636360,DRUM'N'BASS MASSACRE,59744,2,true,2026-05-04T13:35:37.869Z,2026-05-04T14:00:20.595Z,2026-05-05T00:00:25.220Z
1324780,Easy Red 2,134024,2,true,2026-01-25T17:52:35.789Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1536090,Echoes of the Plum Grove,188884,1,true,2026-01-29T14:35:06.389Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
315810,eden*,154924,1,true,2026-02-28T21:17:14.309Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1897110,Edge of Sanity,145600,1,true,2026-01-11T16:41:42.703Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1062830,Embr,32704,0,false,2025-12-31T17:10:57.748Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
2262610,Endless Monday: Dreams and Deadlines,145197,0,false,2026-02-07T16:13:47.516Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
356880,Eron,52224,2,true,2026-04-06T03:43:30.625Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
896440,Eternal Edge +,78272,1,true,2026-04-09T02:18:06.831Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
709150,EVERSPACE™ - Encounters,86848,1,true,2026-01-28T14:03:42.644Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
688700,EVERSPACE™ - Upgrade to Deluxe Edition,43840,1,true,2026-01-28T14:04:01.146Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
22380,Fallout: New Vegas ULTIMATE,191112,0,false,2026-01-11T16:40:40.405Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
2242100,Fargone,54080,1,true,2026-01-03T20:06:51.280Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
207190,Fireburst,54720,1,true,2025-11-10T22:04:21.313Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
2778600,FLASH OF THE BLADE X,50881,1,true,2026-01-25T02:50:52.961Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1057800,Floppy Knights,72064,1,true,2026-04-25T15:12:11.491Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1146600,For the People,147264,1,true,2026-05-02T13:57:20.812Z,2026-05-02T14:00:27.731Z,2026-05-05T00:00:25.220Z
1412890,Frail Hearts: Versicorae Domlion,43200,1,true,2026-01-04T15:41:31.874Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
3316750,Gamma Zero,80308,1,true,2026-01-01T16:29:05.504Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1915380,Garden Life: A Cozy Simulator,96160,1,true,2026-04-26T13:39:59.244Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
2008410,Garfield Lasagna Party,95872,1,true,2026-04-02T12:10:44.674Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
3749790,Go Kart Island,163912,1,true,2026-02-11T18:46:17.950Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1345860,Grapple Dog,49744,3,true,2026-05-03T14:18:13.193Z,2026-05-03T15:00:13.015Z,2026-05-05T00:00:25.220Z
2278790,Grapple Dogs: Cosmic Canines,93420,1,true,2026-02-07T16:16:51.439Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
703530,Grav Blazer Squared,65444,1,true,2026-03-07T00:25:26.773Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
2300300,Growth,65344,1,true,2026-01-01T09:31:27.141Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
2800840,Gunbot Diplomacy,142048,1,true,2026-04-29T11:47:49.721Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1545700,Guns N' Runs,34456,1,true,2026-01-25T15:23:00.308Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
1138850,Heavenly Bodies,169280,1,true,2026-02-15T17:24:32.318Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
2160480,Hellboy Web of Wyrd,84160,2,true,2026-01-29T14:32:08.085Z,2026-05-01T04:00:13.997Z,2026-05-05T00:00:25.220Z
