timestamp,steamid,username,cost,gamename
2026-02-01T20:27:00.856Z,457210,foreeeveeer,30940,SEUM: Speedrunners from Hell
2026-02-01T22:58:34.927Z,264730,daniempirerevolution,19760,Deadly 30
2026-02-01T23:30:50.591Z,264730,daniempirerevolution,19760,Refund dedKey: deadly 30
2026-02-02T01:54:45.108Z,1164940,zoskycube,104800,Trepang2
2026-02-03T01:03:05.788Z,745960,snoopys030,33800,A Sky Full of Stars 仰望夜空的星辰
2026-02-03T03:00:48.779Z,326480,slay_da_b,19500,If My Heart Had Wings
2026-02-03T05:01:26.228Z,1454970,sh4kku,45500,New Tales from the Borderlands
2026-02-03T05:07:37.498Z,1983260,zigetoliver,33540,Dungeons of Hinterberg
2026-02-03T09:14:54.325Z,781480,slay_da_b,20800,Tech Support: Error Unknown
2026-02-03T09:18:30.155Z,357310,snoopys030,25740,Oriental Empires
2026-02-03T19:57:30.892Z,1970580,alfims,29340,Backpack Hero
2026-02-04T04:33:22.440Z,2304440,snoopys030,34060,Creatures of Ava
2026-02-04T14:13:35.916Z,209000,cliffelee,56800,Batman™: Arkham Origins
2026-02-04T22:51:55.841Z,1164940,thanossoul,111020,Trepang2
2026-02-05T14:11:52.886Z,1038710,slay_da_b,22360,If My Heart Had Wings -Flight Diary
2026-02-05T20:51:12.530Z,1701800,ivanpetrov32,74100,Lunistice
2026-02-05T21:45:20.459Z,1937500,littleutano,38740,Let's School
2026-02-07T02:46:17.917Z,3027930,avin_novor,68100,Karate Survivor
2026-02-07T08:45:52.291Z,934700,madagascaradam,271960,Dead Island 2
2026-02-07T10:08:13.270Z,1432910,alfims,28080,Godlike Burger
2026-02-07T16:49:40.078Z,1608470,dahhel,34580,Warstride Challenges
2026-02-07T17:34:58.469Z,1983260,arpan302_,31720,Dungeons of Hinterberg
2026-02-08T11:15:53.354Z,535520,foreeeveeer,24180,Nidhogg 2
2026-02-08T12:12:33.622Z,1794680,calypso_ba,76960,Vampire Survivors
2026-02-08T16:32:16.339Z,1165610,acon47,21320,Titeuf: Mega Party
2026-02-08T19:06:03.745Z,534840,daniempirerevolution,21840,Go! Go! Nippon! 2016
2026-02-09T17:52:26.763Z,1338840,chestersz,44460,Death in the Water 2
2026-02-10T01:40:12.174Z,1425730,snoopys030,51740,Gal*Gun Returns
2026-02-10T13:54:37.652Z,1083790,slay_da_b,32240,Deathbulge: Battle of the Bands
2026-02-10T19:00:32.002Z,718590,ivanpetrov32,109460,Dark Devotion
2026-02-10T21:11:49.539Z,3620560,pika_gamy,86060,Night Jackal: Blood Debt
2026-02-10T22:53:55.220Z,874450,dahhel,43940,Lunacy: Saint Rhodes
2026-02-10T23:36:59.543Z,GIFT_CARD,avin_novor,130420,Steam Wallet Funds (5CAD)
2026-02-11T05:04:39.535Z,46510,exine4595,34320,Syberia II
