# data/newsnode-reactions.2025-12.txt
# discordMsgId,username,emojiInApp,cubes

1448715140638970027,madagascaradam,🎉,250
1448715140638970027,yurigiu,👍,250
1448715140638970027,skillfielder,🎉,250
1448715140638970027,snoopys030,🎉,250
1448715140638970027,somemarblesfriday,🎉,250
1448715140638970027,slay_da_b,👍,250
1448715140638970027,valase,🎉,250
1448715140638970027,wolfmaron999,🎉,250
1448715140638970027,operacional_cae,👍,250
1448715140638970027,100bitlive,👍,250
1448715140638970027,dahhel,👍,250
1448715140638970027,rzvlover,🎉,250
1448715140638970027,ivanpetrov32,👍,250
1448715140638970027,foreeeveeer,🎉,250
1448715140638970027,doubledwonders,🎉,250
1448715140638970027,smogracing,🎉,250
1448715140638970027,absullahqazi,🎉,25
1448715140638970027,irblacky,🎉,25
1449116674300055603,madagascaradam,🤘,250
1449116674300055603,yurigiu,👍,250
1449116674300055603,snoopys030,👍,250
1449116674300055603,skillfielder,👍,250
1449116674300055603,sh4kku,👍,250
1449116674300055603,somemarblesfriday,👍,250
1449116674300055603,valase,🥲,250
1449116674300055603,slay_da_b,👍,250
1449116674300055603,wolfmaron999,👍,250
1449116674300055603,operacional_cae,👍,250
1449116674300055603,100bitlive,👍,250
1449116674300055603,dahhel,👍,250
1449116674300055603,rzvlover,👍,250
1449116674300055603,ivanpetrov32,👍,250
1449116674300055603,foreeeveeer,👍,250
1449116674300055603,doubledwonders,👍,250
1449116674300055603,smogracing,👍,250
1449116674300055603,absullahqazi,👍,25
1449116674300055603,irblacky,👍,25
1450620767870914603,yurigiu,👍,250
1450620767870914603,madagascaradam,🤔,250
1450620767870914603,snoopys030,👍,250
1450620767870914603,valase,😨,250
1450620767870914603,skillfielder,🥳,250
1450620767870914603,johnnymnemonics,👍,250
1450620767870914603,sh4kku,🥳,250
1450620767870914603,somemarblesfriday,🥳,250
1450620767870914603,player0451,🥳,250
1450620767870914603,slay_da_b,👍,250
1450620767870914603,wolfmaron999,🥳,250
1450620767870914603,operacional_cae,👍,250
1450620767870914603,100bitlive,👍,250
1450620767870914603,dahhel,👍,250
1450620767870914603,rzvlover,🥳,250
