timestamp,steamid,username,cost,gamename
2025-12-14T00:55:06.483Z,GIFT_CARD,madagascaradam,200000,super secret special
2025-12-20T19:02:04.637Z,GIFT_CARD,madagascaradam,130420,Steam Wallet Funds (5CAD)
2025-12-29T00:50:39.606Z,70120,valase,6500,Hacker Evolution Duality!
2025-12-29T00:51:37.289Z,410110,cliffelee,8060,12 is Better Than 6!
2025-12-29T00:51:44.918Z,1392960,snoopys030,40560,STORY OF SEASONS: Pioneers of Olive Town!
2025-12-29T00:51:50.666Z,1123050,skillfielder,83720,GRIME!
2025-12-29T00:52:05.510Z,700600,madagascaradam,59280,Evil Genius 2: World Domination!
2025-12-29T00:52:15.667Z,34900,slay_da_b,8580,Bad Rats: the Rats Revenge!
2025-12-29T15:06:13.617Z,338320,cliffelee,11440,Pixel Heroes: Byte & Magic
2025-12-30T06:06:42.665Z,466420,slay_da_b,-13780,Refund dedKey: Warriors Wrath
2025-12-31T00:47:34.734Z,338320,cliffelee,11440,Pixel Heroes: Byte & Magic
2025-12-31T00:47:42.565Z,466420,slay_da_b,13780,Warriors Wrath
2025-12-31T00:48:06.712Z,363940,slay_da_b,19760,Solar Shifter EX
