timestamp,steamid,username,cost,gamename
2026-01-01T05:11:30.728Z,1291010,snoopys030,12480,Warpips
2026-01-01T16:54:50.533Z,1493640,avin_novor,186940,Banishers: Ghosts of New Eden
2026-01-01T20:48:01.218Z,813540,johnic1983,11440,Scheming Through The Zombie Apocalypse
2026-01-02T15:23:30.423Z,223430,valase,13520,Miner Wars 2081
2026-01-02T16:11:29.761Z,,valase,-13520,Refund dedKey: miner wars 2081
2026-01-03T13:37:30.613Z,962580,slay_da_b,24700,Summer in Mara
2026-01-04T09:05:44.017Z,1432910,johnic1983,26780,Godlike Burger
2026-01-05T15:16:31.196Z,1146310,alphonsoe,56940,Beyond a Steel Sky
2026-01-07T14:00:19.596Z,252410,johnic1983,25220,SteamWorld Dig
2026-01-07T18:05:40.989Z,844260,thanossoul,42120,Rustler (Grand Theft Horse)
2026-01-07T18:46:56.963Z,322190,cerebralx1,37700,SteamWorld Heist
2026-01-08T04:41:59.466Z,369000,somemarblesfriday,4160,Pongo
2026-01-08T11:24:54.406Z,2608270,slay_da_b,38360,Intravenous 2
2026-01-08T20:04:55.334Z,369000,johnic1983,4160,Pongo
2026-01-09T00:06:32.863Z,268500,theheliosboss_,3640,[GOG] XCOM® 2 [expFev26]
2026-01-09T08:11:05.389Z,369000,cliffelee,4160,Pongo
2026-01-10T17:21:02.416Z,1087830,madagascaradam,19500,[DLC] GRIP: Combat Racing - Artifex Car Pack
2026-01-10T18:18:20.148Z,2103680,johnic1983,17680,Mediterranea Inferno
2026-01-11T23:01:40.161Z,957960,cliffelee,28340,Inkulinati
2026-01-12T17:02:54.158Z,GIFT_CARD,avin_novor,130420,Steam Wallet Funds (5CAD)
2026-01-13T08:56:58.974Z,278570,johnic1983,20540,Labyrinthine Dreams
2026-01-13T12:27:00.879Z,1299690,ivanpetrov32,66560,Gori: Cuddly Carnage
2026-01-13T22:04:21.933Z,388420,johnic1983,31200,In Between
2026-01-14T11:56:54.611Z,804010,slay_da_b,41600,SteamWorld Quest: Hand of Gilgamech
2026-01-14T20:12:27.321Z,1301520,alfims,26420,Wrestledunk Sports
2026-01-15T21:01:46.759Z,738520,johnic1983,38740,Breathedge
2026-01-15T23:23:28.276Z,25900,cerebralx1,37440,King's Bounty: The Legend
2026-01-17T19:04:32.914Z,2161620,madagascaradam,63440,Lysfanga: The Time Shift Warrior
2026-01-18T01:19:05.743Z,1743850,madagascaradam,61880,HYPER DEMON
2026-01-18T03:17:23.912Z,2103680,player0451,27680,Mediterranea Inferno
2026-01-18T18:00:28.020Z,2192900,madagascaradam,83200,Knock'Em Out
2026-01-19T17:40:03.762Z,GIFT_CARD,madagascaradam,130420,Steam Wallet Funds (5CAD)
2026-01-19T19:58:19.124Z,3499550,ekymu52,40560,Mai: Child of Ages
2026-01-20T18:05:24.591Z,519860,thanossoul,62400,DUSK
2026-01-21T06:19:13.588Z,707030,smogracing,82420,POSTAL 4: No Regerts
2026-01-21T09:21:04.949Z,2400770,snoopys030,26780,Dungeon Tycoon
2026-01-22T11:08:36.863Z,972660,alphonsoe,117260,Spiritfarer®: Farewell Edition
2026-01-22T18:07:02.957Z,431710,foreeeveeer,10400,Space Pilgrim Episode II: Epsilon Indi
2026-01-23T02:58:17.173Z,527230,slay_da_b,49140,For The King
2026-01-23T10:29:14.384Z,673130,ivanpetrov32,41480,AMID EVIL
2026-01-23T11:35:34.218Z,GIFT_CARD,alfims,130420,Steam Wallet Funds (5CAD)
2026-01-24T00:20:07.794Z,535520,dahhel,19500,Nidhogg 2
2026-01-24T03:20:20.814Z,1083790,snoopys030,25220,Deathbulge: Battle of the Bands
2026-01-24T14:22:23.462Z,GIFT_CARD,calypso_ba,130420,Steam Wallet Funds (5CAD)
2026-01-24T17:33:44.576Z,16450,skillfielder,37840,F.E.A.R. 2: Project Origin
2026-01-25T05:53:51.593Z,1794680,madagascaradam,98800,Vampire Survivors
2026-01-25T06:13:52.257Z,2277320,alphonsoe,36400,Necrosmith 2
2026-01-25T14:26:41.773Z,264730,foreeeveeer,19760,Deadly 30
2026-01-26T16:19:22.919Z,2000090,zoskycube,148580,The Isle Tide Hotel
2026-01-26T16:34:09.930Z,1970580,dahhel,29340,Backpack Hero
2026-01-26T17:04:36.839Z,2852980,ekymu52,44200,Necroking
2026-01-27T05:50:34.350Z,250260,slay_da_b,38500,Jazzpunk: Director's Cut
2026-01-27T13:04:31.848Z,1432910,cliffelee,19860,Godlike Burger
2026-01-27T17:43:06.514Z,1837580,zoskycube,104800,Mia and the Dragon Princess
2026-01-27T23:46:59.785Z,57900,cliffelee,34840,Duke Nukem Forever
2026-01-28T05:43:03.369Z,1983260,ivanpetrov32,33540,Dungeons of Hinterberg
2026-01-28T09:42:52.256Z,1465550,valase,61100,One Lonely Outpost
2026-01-28T17:52:59.276Z,264730,llucholba,19760,Deadly 30
2026-01-31T03:57:49.437Z,2825110,snoopys030,36140,Technotopia
2026-01-31T12:20:23.300Z,1116780,cerebralx1,44340,Shovel Knight: King of Cards
2026-01-31T14:29:32.478Z,2304440,alphonsoe,38740,Creatures of Ava
2026-01-31T23:34:01.792Z,17710,snoopys030,27820,Nuclear Dawn
2026-02-01T03:17:21.144Z,GIFT_CARD,wolfmaron999,130420,Steam Wallet Funds (5CAD)
