steamAppId,gameName,cost,quantity,enabled,createdAt,firstSeen,lastSeen
844260,[COMPLETE] Rustler (Grand Theft Horse),226928,1,true,2026-05-13T14:55:37.179Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
4140630,[DLC] Mai: Child of Ages - Storms of Time,77696,1,true,2026-05-31T13:27:44.507Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
2376951,[DLC] Turbo Golf Racing: Space Explorers Galactic,178964,1,true,2026-02-13T18:43:21.605Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
1272840,[EU ONLY] Dordogne,51200,2,true,2026-03-15T09:31:52.051Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
1793170,[EU ONLY] Racine,25422,2,true,2026-03-15T09:32:56.462Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
1231990,[NOT GLOBAL] Gestalt: Steam & Cinder,201984,1,true,2026-04-13T10:46:15.711Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
211820,[NOT🌳] Starbound ,301408,1,true,2026-05-17T12:16:18.501Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
924970,[US/CA ONLY!] Back 4 Blood,28802,2,true,2026-03-17T14:55:23.220Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
2525380,[US/CA ONLY] Tomb Raider IV-VI Remastered,25423,1,true,2026-03-15T09:36:52.481Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
1356140,112 Operator - Call Editor,32000,1,true,2025-10-31T06:43:48.440Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
1232150,A Little Golf Journey,160000,1,true,2026-04-29T11:48:35.171Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
852220,Accident,79873,1,true,2026-04-26T13:40:13.884Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
366760,Adorables,43200,1,true,2026-01-06T17:21:00.550Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
331870,AER Memories of Old,66448,0,false,2026-06-02T18:59:17.174Z,2026-06-02T19:00:10.716Z,2026-06-08T04:00:13.787Z
1517970,Aeterna Noctis,149504,1,true,2026-05-13T14:55:29.713Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
1210150,Ageless,38808,2,true,2026-05-31T13:27:07.634Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
2096080,Agent in Depth,27200,1,true,2026-01-06T17:20:07.064Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
3730,Aliens versus Predator Classic 2000,84224,1,true,2026-05-08T14:58:22.371Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
1812300,Aquatico,119696,1,true,2026-05-02T13:57:27.842Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
1918040,Army of Ruin,73008,1,true,2026-05-17T12:15:45.860Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
1229190,ArtPulse,103968,1,true,2026-05-14T12:47:32.758Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
283680,Astebreed: Definitive Edition,93488,1,true,2026-05-19T18:10:36.131Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
887060,Asterix & Obelix XXL 2,160096,0,false,2026-05-02T13:57:49.836Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
1261520,Asterix & Obelix XXL: Romastered,89184,1,true,2026-04-18T22:59:59.453Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
1671720,Athenian Rhapsody,111040,1,true,2026-04-22T19:13:47.325Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
753660,AtmaSphere,45056,1,true,2026-05-05T13:58:19.229Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
1933190,Bahnsen Knights,92288,1,true,2026-05-08T14:57:52.650Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
1031120,Bakery Simulator,50872,1,true,2026-06-02T18:58:56.361Z,2026-06-02T19:00:10.716Z,2026-06-08T04:00:13.787Z
424250,Balrum,115376,1,true,2026-05-04T13:36:00.682Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
207020,Bang Bang Racing,64320,3,true,2025-10-31T05:46:16.006Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
1682320,Barn Finders VR,67408,1,true,2026-06-04T15:16:36.531Z,2026-06-04T16:00:26.773Z,2026-06-08T04:00:13.787Z
1424060,Barn Finders: Amerykan Dream,58848,1,true,2026-06-05T13:58:12.576Z,2026-06-05T14:00:30.206Z,2026-06-08T04:00:13.787Z
1554910,Barn Finders: Bid Wars DLC,62528,1,true,2026-06-05T13:58:05.824Z,2026-06-05T14:00:30.206Z,2026-06-08T04:00:13.787Z
1228870,Bartlow's Dread Machine,61776,1,true,2026-06-03T13:43:53.949Z,2026-06-03T14:00:27.428Z,2026-06-08T04:00:13.787Z
209000,Batman™: Arkham Origins,135072,0,false,2026-05-16T13:34:11.962Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
49600,Beat Hazard,75776,1,true,2025-11-07T14:48:04.630Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
231040,Beatbuddy: Tale of the Guardians,73648,2,true,2026-05-31T01:28:23.961Z,2026-06-01T04:00:06.808Z,2026-06-08T04:00:13.787Z
