sessionId,appId,gameName,sessionStart,sessionEnd,videoId,unlockEpoch,achievementApiName,displayName,rarity,zCubes
c098c610c3ab,1796470,Haste,2026-03-01T14:07:01.174Z,2026-03-01T14:41:35.659Z,,2026-03-01T14:17:58.000Z,ACH_24,Touched by Legends,23.6,76
f215d2751b21,1621690,Core Keeper,2026-03-01T14:41:44.255Z,2026-03-01T15:32:51.024Z,,2026-03-01T15:02:56.000Z,PetMaxLevel,Pet Prodigy,26.6,73
6b11ce045d2b,1621690,Core Keeper,2026-03-01T15:54:11.124Z,2026-03-01T21:41:22.750Z,,2026-03-01T17:28:06.000Z,DefeatDruidra,Song of the Woods,18.3,82
6b11ce045d2b,1621690,Core Keeper,2026-03-01T15:54:11.124Z,2026-03-01T21:41:22.750Z,,2026-03-01T20:33:28.000Z,DefeatCrydra,Howl of the Sea,17.2,83
6b11ce045d2b,1621690,Core Keeper,2026-03-01T15:54:11.124Z,2026-03-01T21:41:22.750Z,,2026-03-01T21:20:05.000Z,DefeatPyrdra,Roar of the Flames,16.8,83
,1621690,Core Keeper,,,,2026-03-03T00:21:21.000Z,DefeatCoreCommander,Visitor From A Dying World,15.1,85
ec0f95fef2ea,690640,Trine 4: The Nightmare Prince,2026-03-08T00:18:14.058Z,2026-03-08T01:19:21.430Z,,2026-03-08T01:17:55.000Z,complete_l08,Moths in Moonlight,43.1,57
,1796470,Haste,,,,2026-03-10T17:37:22.000Z,ACH_06,Shard 5,44.3,56
,1796470,Haste,,,,2026-03-10T18:21:56.000Z,ACH_07,Shard 6,39.2,61
,1796470,Haste,,,,2026-03-10T18:22:05.000Z,ACH_22,The Archivist,10.1,90
8a773ca46299,1796470,Haste,2026-03-12T03:52:20.594Z,2026-03-12T04:40:26.888Z,,2026-03-12T04:35:15.000Z,ACH_17,Spender,19.2,81
,1796470,Haste,,,,2026-03-13T20:20:47.000Z,ACH_12,Perfect Landing,31.6,68
,2193540,Wizard of Legend 2,,,,2026-03-13T23:31:38.000Z,ACH_ARCANE_ASCENSION,Arcane Ascension,50.4,50
a4748b955ddb,2193540,Wizard of Legend 2,2026-03-14T19:19:48.219Z,2026-03-14T20:17:18.004Z,X0B8V8YNPqQ,2026-03-14T19:43:29.000Z,ACH_BEST_FRIENDS_FOREVER,Best Friends Forever,31.4,69
f99947ad4bf1,2193540,Wizard of Legend 2,2026-03-15T16:15:25.381Z,2026-03-15T17:30:15.056Z,nci2ETgV2wM,2026-03-15T16:44:59.000Z,ACH_OUTMATCH_YOUR_MASTER,Outmatch Your Master,47.5,53
f99947ad4bf1,2193540,Wizard of Legend 2,2026-03-15T16:15:25.381Z,2026-03-15T17:30:15.056Z,nci2ETgV2wM,2026-03-15T16:51:48.000Z,ACH_NOX_THE_UNFORTUNATE,Nox the Unfortunate,44.7,55
f99947ad4bf1,2193540,Wizard of Legend 2,2026-03-15T16:15:25.381Z,2026-03-15T17:30:15.056Z,nci2ETgV2wM,2026-03-15T17:07:31.000Z,ACH_ARCANA_APPRENTICE,Arcana Apprentice,47.8,52
f99947ad4bf1,2193540,Wizard of Legend 2,2026-03-15T16:15:25.381Z,2026-03-15T17:30:15.056Z,nci2ETgV2wM,2026-03-15T17:09:53.000Z,ACH_LIFE_IS_CHARMING,Life is Charming,46.6,53
5084be0e7f61,1796470,Haste,2026-03-16T20:07:31.749Z,2026-03-16T20:44:25.334Z,-C1nTUk1hmg,2026-03-16T20:25:05.000Z,ACH_08,Shard 7,31.5,69
e91dcafa88fa,1796470,Haste,2026-03-17T15:57:42.612Z,2026-03-17T16:23:01.387Z,,2026-03-17T16:06:05.000Z,ACH_19,Megamarathon,5.4,95
bb72de5625b7,2137880,Ink Inside,2026-03-17T17:07:25.108Z,2026-03-17T18:57:02.208Z,,2026-03-17T17:18:44.000Z,Ink_33,Flawless Victory,83.6,16
bb72de5625b7,2137880,Ink Inside,2026-03-17T17:07:25.108Z,2026-03-17T18:57:02.208Z,,2026-03-17T17:22:34.000Z,Ink_1,The Boss is SO far away…,81.4,19
bb72de5625b7,2137880,Ink Inside,2026-03-17T17:07:25.108Z,2026-03-17T18:57:02.208Z,,2026-03-17T17:54:48.000Z,Ink_2,J/K Is that big thing a sog too?,59.2,41
1336e000497f,2870580,Cubed and Dangerous,2026-03-21T15:48:10.162Z,2026-03-21T16:49:50.042Z,,2026-03-21T16:15:45.000Z,ACT1_COMPLETE,Forest for the Trees,40.5,60
1336e000497f,2870580,Cubed and Dangerous,2026-03-21T15:48:10.162Z,2026-03-21T16:49:50.042Z,,2026-03-21T16:30:43.000Z,COMBO_COUNTER_LOW,Just Keep Shooting,17.4,83
1336e000497f,2870580,Cubed and Dangerous,2026-03-21T15:48:10.162Z,2026-03-21T16:49:50.042Z,,2026-03-21T16:43:12.000Z,ACT2_COMPLETE,Just Chillin',28.3,72
16dee121ad23,1562140,Sophie: Starlight Whispers,2026-03-21T17:06:33.763Z,2026-03-21T17:58:42.092Z,,2026-03-21T17:20:37.000Z,ACH:VOCE_PODE_FAZER_CARINHO_NO_GATINHO,Can you pet the cat?,59.1,41
16dee121ad23,1562140,Sophie: Starlight Whispers,2026-03-21T17:06:33.763Z,2026-03-21T17:58:42.092Z,,2026-03-21T17:42:13.000Z,ACH:LICOES_DE_FEITICARIA,Lessons in witchcraft,56.8,43
ba9bd6715d59,1796470,Haste,2026-03-22T17:16:11.264Z,2026-03-22T17:56:13.354Z,JwB3DXVJ5oQ,2026-03-22T17:39:17.000Z,ACH_09,Shard 8,27,73
00fe1c146a90,1796470,Haste,2026-03-22T23:19:09.453Z,2026-03-23T14:21:09.939Z,JwB3DXVJ5oQ,2026-03-23T14:11:55.000Z,ACH_10,Shard 9,24.2,76
10f1a2e9b46f,2930270,Tackle for Loss,2026-03-23T16:13:55.892Z,2026-03-23T22:13:55.892Z,,2026-03-23T16:14:08.000Z,ACH_START_GAME,Impeccable Taste!,93.9,6
10f1a2e9b46f,2930270,Tackle for Loss,2026-03-23T16:13:55.892Z,2026-03-23T22:13:55.892Z,,2026-03-23T16:18:31.000Z,ACH_GOOD_LISTENER,Husband Material,82.1,18
10f1a2e9b46f,2930270,Tackle for Loss,2026-03-23T16:13:55.892Z,2026-03-23T22:13:55.892Z,,2026-03-23T16:21:47.000Z,ACH_HYGIENE_FANATIC,Hygiene Fanatic,31.3,69
3de97bc5768b,2865670,JETRUNNER,2026-03-23T21:25:41.704Z,2026-03-24T03:25:41.704Z,,2026-03-23T21:26:37.000Z,ACH_FIRST_STEPS,First Steps,96.7,3
3de97bc5768b,2865670,JETRUNNER,2026-03-23T21:25:41.704Z,2026-03-24T03:25:41.704Z,,2026-03-23T21:51:55.000Z,ACH_CHAPTER_NEWYORK,The Queen of New York,56.7,43
2bbfc0241b4c,629820,Maneater,2026-03-24T02:31:42.907Z,2026-03-24T04:27:31.707Z,,2026-03-24T03:00:30.000Z,ACH_LEARNED_TO_SWIM,Learned To Swim,92,8
2bbfc0241b4c,629820,Maneater,2026-03-24T02:31:42.907Z,2026-03-24T04:27:31.707Z,,2026-03-24T03:11:14.000Z,ACH_SURVIVOR,Survivor,89.5,11
2bbfc0241b4c,629820,Maneater,2026-03-24T02:31:42.907Z,2026-03-24T04:27:31.707Z,,2026-03-24T03:23:30.000Z,ACH_ADAPTATION,Adaptation,85.3,15
2bbfc0241b4c,629820,Maneater,2026-03-24T02:31:42.907Z,2026-03-24T04:27:31.707Z,,2026-03-24T04:25:35.000Z,ACH_GROWING_UP,Growing Up,73.8,26
cf3a8a632cc2,1796470,Haste,2026-03-25T12:09:19.824Z,2026-03-25T12:34:45.785Z,bnnjWEqh-70,2026-03-25T12:28:08.000Z,ACH_23,Veteran,1.1,99
6acfd09a4f93,3139060,Chico's Rebound,2026-03-28T14:21:46.463Z,2026-03-28T20:21:46.463Z,,2026-03-28T14:27:05.000Z,ACC_VOLLEY,Great Volley,63.6,36
6acfd09a4f93,3139060,Chico's Rebound,2026-03-28T14:21:46.463Z,2026-03-28T20:21:46.463Z,,2026-03-28T14:33:59.000Z,ACC_BOSS_FOREST,Orchard Defender,73.5,27
