timestamp,steamid,username,cost,hadAtPurchase,activated,playtimeMinutes,gamename
2026-05-01T08:36:57.650Z,640880,ekymu52,25424,0,1,0,Hyper Sentinel
2026-05-01T13:10:31.655Z,1062830,cliffelee,32704,0,1,136,Embr
2026-05-01T13:48:42.144Z,40720,giggadigga69,40800,0,0,,Samorost 2
2026-05-01T15:30:01.339Z,2297650,100bitlive,77024,0,1,0,Re:Fresh
2026-05-01T20:28:15.171Z,1814710,mori2323,35200,0,1,267,Cute Dogs
2026-05-01T20:46:08.956Z,1952370,pika_gamy,105927,0,1,0,Oblivion Override
2026-05-01T21:07:22.700Z,1196090,shadowladyex,172320,0,0,,Scars Above
2026-05-01T21:53:57.545Z,352220,rzvlover,65792,0,1,956,King of Dragon Pass
2026-05-01T23:50:57.271Z,1196090,shadowladyex,172320,0,0,,Scars Above
2026-05-03T09:28:38.432Z,1601970,alburldador,136560,0,1,468,Tunguska: The Visitation - Final Cut
2026-05-03T10:30:33.964Z,302320,cliffelee,34048,0,1,68,Storm over the Pacific
2026-05-04T02:29:34.604Z,2530430,dahhel,59681,0,1,283,Terror At Oakheart
2026-05-04T10:14:19.885Z,301640,operacional_cae,153568,0,1,0,Zombie Army Trilogy
2026-05-04T11:09:29.159Z,2262610,mori2323,145197,0,1,478,Endless Monday: Dreams and Deadlines
2026-05-05T00:12:08.333Z,943260,chestersz,46864,0,1,0,Stranded Sails - Explorers of the Cursed Islands
2026-05-05T14:04:38.697Z,1426010,ivanpetrov32,128448,0,1,0,STASIS: BONE TOTEM
2026-05-07T16:56:12.936Z,651670,shadowladyex,149760,0,0,,Star Renegades
2026-05-07T17:00:48.823Z,419480,slay_da_b,88128,0,1,209,Starpoint Gemini Warlords
2026-05-07T17:16:57.232Z,651670,shadowladyex,149760,0,0,,Star Renegades
2026-05-08T15:02:44.855Z,651670,madagascaradam,134784,0,1,0,Star Renegades
2026-05-08T19:36:49.693Z,794310,rzvlover,24200,0,0,,We are alright
2026-05-08T20:07:01.826Z,2160480,alexwifi42,84480,0,1,0,Hellboy Web of Wyrd
2026-05-09T16:02:20.936Z,2224640,madagascaradam,56656,0,1,0,Artisan TD
2026-05-09T22:09:02.418Z,923260,madagascaradam,70480,0,1,0,Golf Peaks
2026-05-10T05:52:07.688Z,1810820,mori2323,90640,0,0,,Etrian Odyssey III HD
2026-05-10T06:44:29.916Z,1810820,mori2323,90640,0,0,,Etrian Odyssey III HD
2026-05-10T07:15:26.714Z,623550,puphik,33024,0,1,78,Timen runner
2026-05-10T12:39:11.188Z,658700,alburldador,45120,0,1,0,V-Rally 4
2026-05-10T13:30:34.677Z,3710,silent_luc,96768,0,1,0,Judge Dredd: Dredd vs. Death
2026-05-10T21:34:08.485Z,2278790,thanossoul,87276,0,1,0,Grapple Dogs: Cosmic Canines
2026-05-12T10:53:18.311Z,25980,lovegamesandthings00000,112636,0,1,0,Majesty 2
2026-05-12T14:29:47.820Z,1921980,alfims,62992,0,1,0,Between Horizons – A Sci-Fi Detective Adventure
2026-05-12T22:50:54.508Z,1581770,snoopys030,138656,0,1,178,SpellForce: Conquest of Eo
2026-05-13T02:58:59.430Z,1709730,dahhel,116480,0,1,0,Beyond The Edge Of Owlsgard
2026-05-13T07:03:49.457Z,272890,alexandr7889,45569,0,1,0,Vertiginous Golf
2026-05-13T11:23:56.193Z,1763250,alphonsoe,108496,0,1,0,SWORN
2026-05-13T13:59:46.661Z,1463830,giggadigga69,48320,0,0,,Vostok 2061
2026-05-13T15:04:46.578Z,1590760,ivanpetrov32,77024,0,1,0,Metal Slug Tactics
2026-05-14T11:33:37.898Z,2078450,chestersz,125536,0,1,82,Warhammer 40,000: Speed Freeks
2026-05-15T03:00:40.989Z,GIFT_CARD,player0451,320420,,,,Steam Wallet Funds (5CAD)
2026-05-15T05:07:44.305Z,40720,alburldador,28032,0,1,0,Samorost 2
2026-05-15T13:55:21.360Z,1557480,skillfielder,131265,0,1,0,Project MIKHAIL: A Muv-Luv War Story
2026-05-16T06:17:02.709Z,3481320,alburldador,29760,0,,,Deckline
2026-05-16T18:03:35.856Z,1282410,ragnar175,68400,0,1,0,Hard West 2
2026-05-17T08:13:48.700Z,2651290,alfims,67232,0,1,0,Urban Legend Hunters 2: Double
