# data/newsnode-reactions.2026-06.txt
# discordMsgId,username,emojiInApp,cubes

1514280663010771135,aswd002,cube-gg,250
1514280663010771135,alexwifi42,🤣,250
1514280663010771135,player0451,👀,250
1514280663010771135,ikaliayev,👀,250
1514280663010771135,100bitlive,🤣,250
1514280663010771135,alburldador,👀,250
1514280663010771135,yurigiu,🤔,250
1514280663010771135,doubledwonders,🤣,250
1514280663010771135,alyssrentori,🤔,250
1514280663010771135,ivanpetrov32,👀,250
1514280663010771135,neoncryptog,👀,250
1514280663010771135,alfims,🧙‍♂️,250
1514280663010771135,dahhel,cube-love,250
1514280663010771135,operacional_cae,🤔,250
1514280663010771135,johnnymnemonics,🤔,250
1514280663010771135,robin3one,👀,250
1514280663010771135,mori2323,🤔,250
1514280663010771135,valase,cube-fire,250
1514280663010771135,somemarblesfriday,🤣,250
1514280663010771135,madagascaradam,🤖,250
1514280663010771135,cerebralx1,🤔,250
1514280663010771135,silent_luc,👀,250
1514280663010771135,darkranx,👀,250
1514280663010771135,shadowladyex,cube-cool,250
1514280663010771135,avin_novor,❤️,250
1514280663010771135,snoopys030,🤣,250
1514280663010771135,sasha5889,👀,250
1514280663010771135,wolfmaron999,👀,1
1514280663010771135,llucholba,🧙‍♂️,187
1514280663010771135,louis_of_apshai,🕵️,250
1514280663010771135,slay_da_b,👀,250
1514280663010771135,smogracing,👀,105
1514280663010771135,lovegamesandthings00000,cube-gg,140
1515397653624520704,aswd002,👀,250
1515397653624520704,alexwifi42,🤣,250
1515397653624520704,dahhel,👀,250
1515397653624520704,operacional_cae,👀,250
1515397653624520704,neoncryptog,👀,250
1515397653624520704,player0451,👀,250
1515397653624520704,calypso_ba,👀,250
1515397653624520704,ikaliayev,👀,250
1515397653624520704,yurigiu,👀,250
1515397653624520704,alyssrentori,👀,250
1515397653624520704,alfims,👀,250
1515397653624520704,alburldador,👀,250
1515397653624520704,slay_da_b,👀,250
1515397653624520704,mori2323,🥶,250
1515397653624520704,valase,😆,250
1515397653624520704,ivanpetrov32,😆,250
1515397653624520704,doubledwonders,👀,250
1515397653624520704,johnnymnemonics,👀,250
1515397653624520704,shadowladyex,👀,250
1515397653624520704,100bitlive,👀,250
1515397653624520704,darkranx,👀,250
1515397653624520704,avin_novor,❤️,250
1515397653624520704,silent_luc,👀,250
1515397653624520704,snoopys030,👀,250
1515397653624520704,llucholba,🥶,250
1515397653624520704,alphonsoe,❓,250
1515397653624520704,sasha5889,😆,250
1515397653624520704,smogracing,👀,187
1515397653624520704,louis_of_apshai,❓,140
1515397653624520704,lovegamesandthings00000,cube-gg,140
1516119489857585172,neoncryptog,cube-gg,250
1516119489857585172,aswd002,cube-gg,250
1516119489857585172,calypso_ba,cube-gg,250
1516119489857585172,alexwifi42,👀,250
1516119489857585172,player0451,cube-gg,250
1516119489857585172,100bitlive,cube-gg,250
1516119489857585172,alfims,🤔,250
1516119489857585172,johnnymnemonics,👀,250
1516119489857585172,alburldador,👀,250
1516119489857585172,yurigiu,👀,250
1516119489857585172,doubledwonders,👀,250
1516119489857585172,shadowladyex,👀,250
