sessionId,appId,gameName,sessionStart,sessionEnd,videoId,unlockEpoch,achievementApiName,displayName,rarity,zCubes
,268910,Cuphead,,,gDie188Aczo,2026-04-06T16:28:31.000Z,CompleteWorld3,A Trip Downtown,21.9,78
c115870f8a2a,620,Portal 2,2026-04-05T21:54:22.329Z,2026-04-09T20:26:34.670Z,jEqfuuYixRY,2026-04-08T23:34:22.000Z,ACH.PORTRAIT,Portrait of a Lady,11.6,88
,3448430,Origament: A Paper Adventure,,,72nyPbsh3B8,2026-04-09T16:58:07.000Z,ACH_LEVEL_COMPLETE_HUB,Safe Haven,86.6,13
,3448430,Origament: A Paper Adventure,,,72nyPbsh3B8,2026-04-09T17:15:29.000Z,ACH_LEVEL_COMPLETE_GARDEN,Whispers of Paper Leaves,68,32
30f5655d7389,620,Portal 2,2026-04-09T20:27:03.331Z,2026-04-16T23:14:52.303Z,,2026-04-09T20:32:26.000Z,ACH.ORANGE_GEL,Stranger Than Friction,39.4,61
30f5655d7389,620,Portal 2,2026-04-09T20:27:03.331Z,2026-04-16T23:14:52.303Z,ujIJJ5pkhEs,2026-04-09T21:25:46.000Z,ACH.WHITE_GEL,White Out,38.3,62
30f5655d7389,620,Portal 2,2026-04-09T20:27:03.331Z,2026-04-16T23:14:52.303Z,ujIJJ5pkhEs,2026-04-09T21:52:37.000Z,ACH.TRIVIAL_TEST,Dual Pit Experiment,37,63
f80cf37603aa,2349350,Knockout 2: Wrath of the Karen,2026-04-10T00:57:32.678Z,2026-04-10T06:57:32.678Z,F4p9xFXIrts,2026-04-10T00:57:43.000Z,ko2_achievement_1,Welcome to the FBI,100,0
f80cf37603aa,2349350,Knockout 2: Wrath of the Karen,2026-04-10T00:57:32.678Z,2026-04-10T06:57:32.678Z,F4p9xFXIrts,2026-04-10T00:59:54.000Z,ko2_achievement_2,Reasonable Force,89,11
f80cf37603aa,2349350,Knockout 2: Wrath of the Karen,2026-04-10T00:57:32.678Z,2026-04-10T06:57:32.678Z,F4p9xFXIrts,2026-04-10T01:00:49.000Z,ko2_achievement_3,Get Out of Here!,84.7,15
f80cf37603aa,2349350,Knockout 2: Wrath of the Karen,2026-04-10T00:57:32.678Z,2026-04-10T06:57:32.678Z,F4p9xFXIrts,2026-04-10T01:05:33.000Z,ko2_achievement_6,No Touchy!,74.4,26
f80cf37603aa,2349350,Knockout 2: Wrath of the Karen,2026-04-10T00:57:32.678Z,2026-04-10T06:57:32.678Z,F4p9xFXIrts,2026-04-10T01:07:01.000Z,ko2_achievement_5,That Was Close,73.1,27
f80cf37603aa,2349350,Knockout 2: Wrath of the Karen,2026-04-10T00:57:32.678Z,2026-04-10T06:57:32.678Z,F4p9xFXIrts,2026-04-10T01:13:32.000Z,ko2_achievement_26,Girl I'll Fry an Egg and Leave Your Butter Jealous,69.6,30
f80cf37603aa,2349350,Knockout 2: Wrath of the Karen,2026-04-10T00:57:32.678Z,2026-04-10T06:57:32.678Z,F4p9xFXIrts,2026-04-10T01:16:10.000Z,ko2_achievement_13,I Didn't Hear No Bell,71.6,28
f80cf37603aa,2349350,Knockout 2: Wrath of the Karen,2026-04-10T00:57:32.678Z,2026-04-10T06:57:32.678Z,F4p9xFXIrts,2026-04-10T01:25:54.000Z,ko2_achievement_4,Infinite Combo,74.6,25
