username,amount,reason,timestamp,date
mori2323,45,Phase 1: GPU,1788221859200,2026-09-01
ikaliayev,45,Phase 1: GPU,1788221859218,2026-09-01
shadowladyex,45,Phase 1: GPU,1788221859240,2026-09-01
lovegamesandthings00000,45,Phase 1: GPU,1788221859244,2026-09-01
snoopys030,45,Phase 1: GPU,1788221859258,2026-09-01
silent_luc,45,Phase 1: GPU,1788221859266,2026-09-01
dahhel,45,Phase 1: GPU,1788221859274,2026-09-01
lmbs00,45,Phase 1: GPU,1788221859285,2026-09-01
valase,45,Phase 1: GPU,1788221859306,2026-09-01
dahhel,65,Phase 2: CPU,1788222494494,2026-09-01
shadowladyex,65,Phase 2: CPU,1788222494500,2026-09-01
silent_luc,65,Phase 2: CPU,1788222494506,2026-09-01
snoopys030,65,Phase 2: CPU,1788222494526,2026-09-01
lovegamesandthings00000,65,Phase 2: CPU,1788222494542,2026-09-01
mori2323,65,Phase 2: CPU,1788222494551,2026-09-01
lmbs00,65,Phase 2: CPU,1788222494553,2026-09-01
ikaliayev,65,Phase 2: CPU,1788222494565,2026-09-01
valase,65,Phase 2: CPU,1788222494569,2026-09-01
mori2323,90,Phase 3: HDD,1788223173489,2026-09-01
lmbs00,90,Phase 3: HDD,1788223173498,2026-09-01
shadowladyex,90,Phase 3: HDD,1788223173505,2026-09-01
valase,90,Phase 3: HDD,1788223173508,2026-09-01
ikaliayev,90,Phase 3: HDD,1788223173517,2026-09-01
snoopys030,90,Phase 3: HDD,1788223173520,2026-09-01
silent_luc,90,Phase 3: HDD,1788223173524,2026-09-01
pika_gamy,90,Phase 3: HDD,1788223173530,2026-09-01
dahhel,90,Phase 3: HDD,1788223173532,2026-09-01
aswd002,90,Phase 3: HDD,1788223173544,2026-09-01
snoopys030,45,Phase 1: RAM,1788224422144,2026-09-01
shadowladyex,45,Phase 1: RAM,1788224422150,2026-09-01
pika_gamy,45,Phase 1: RAM,1788224422155,2026-09-01
silent_luc,45,Phase 1: RAM,1788224422173,2026-09-01
valase,45,Phase 1: RAM,1788224422178,2026-09-01
ikaliayev,45,Phase 1: RAM,1788224422204,2026-09-01
mori2323,45,Phase 1: RAM,1788224422246,2026-09-01
shadowladyex,65,Phase 2: CPU,1788224962221,2026-09-01
valase,65,Phase 2: CPU,1788224962228,2026-09-01
lmbs00,65,Phase 2: CPU,1788224962231,2026-09-01
thanossoul,65,Phase 2: CPU,1788224962237,2026-09-01
snoopys030,65,Phase 2: CPU,1788224962247,2026-09-01
silent_luc,65,Phase 2: CPU,1788224962277,2026-09-01
ikaliayev,65,Phase 2: CPU,1788224962279,2026-09-01
thanossoul,45,Phase 1: GPU,1788226349600,2026-09-01
lmbs00,45,Phase 1: GPU,1788226349610,2026-09-01
silent_luc,45,Phase 1: GPU,1788226349616,2026-09-01
valase,45,Phase 1: GPU,1788226349619,2026-09-01
mori2323,45,Phase 1: GPU,1788226349631,2026-09-01
pika_gamy,45,Phase 1: GPU,1788226349637,2026-09-01
madagascaradam,45,Phase 1: GPU,1788226349642,2026-09-01
shadowladyex,45,Phase 1: GPU,1788226349645,2026-09-01
