username,amount,reason,source,timestamp,date,day
ivanpetrov32,86,Starting a new game with !v###,vodVote,1769922113320,2026-02-01,Sun
snoopys030,75,Successful game vote,vodVote,1769922120474,2026-02-01,Sun
avin_novor,75,Successful game vote,vodVote,1769922124385,2026-02-01,Sun
ivanpetrov32,75,Successful game vote,vodVote,1769922128725,2026-02-01,Sun
ivanpetrov32,234,AI Art word: keeper,art,1769922147232,2026-02-01,Sun
slay_da_b,75,Successful game vote,vodVote,1769922168377,2026-02-01,Sun
wolfmaron999,75,Successful game vote,vodVote,1769922224385,2026-02-01,Sun
madagascaradam,54,AI Art word: kingly,art,1769922400144,2026-02-01,Sun
alphonsoe,234,AI Art word: keyboard,art,1769922454341,2026-02-01,Sun
wolfmaron999,250,reacted ✅ to announcement 1467205350657884192,discoReact,1769922485029,2026-02-01,Sun
wolfmaron999,86,Starting a new game with !v###,vodVote,1769922937827,2026-02-01,Sun
wolfmaron999,75,Successful game vote,vodVote,1769922951392,2026-02-01,Sun
alphonsoe,75,Successful game vote,vodVote,1769922952346,2026-02-01,Sun
madagascaradam,75,Successful game vote,vodVote,1769922971730,2026-02-01,Sun
viktor123545,75,Successful game vote,vodVote,1769922975613,2026-02-01,Sun
avin_novor,75,Successful game vote,vodVote,1769923032293,2026-02-01,Sun
snoopys030,75,Successful game vote,vodVote,1769923087905,2026-02-01,Sun
wolfmaron999,722,221283+722 winning @ vodVote,vodVote,1769923153658,2026-02-01,Sun
alphonsoe,390,AI Art word: walkway,art,1769923585290,2026-02-01,Sun
snoopys030,175,AI Art word: wallet,art,1769923603389,2026-02-01,Sun
madagascaradam,175,AI Art word: weasel,art,1769923736674,2026-02-01,Sun
wolfmaron999,86,Starting a new game with !v###,vodVote,1769923872905,2026-02-01,Sun
wolfmaron999,75,Successful game vote,vodVote,1769923884153,2026-02-01,Sun
shadowladyex,75,Successful game vote,vodVote,1769923898889,2026-02-01,Sun
madagascaradam,75,Successful game vote,vodVote,1769923981041,2026-02-01,Sun
avin_novor,75,Successful game vote,vodVote,1769923987518,2026-02-01,Sun
viktor123545,75,Successful game vote,vodVote,1769924013347,2026-02-01,Sun
madagascaradam,2239,Referral bonus (6 referrals),referral,1769924383204,2026-02-01,Sun
wolfmaron999,86,Starting a new game with !v###,vodVote,1769924822317,2026-02-01,Sun
wolfmaron999,75,Successful game vote,vodVote,1769924833200,2026-02-01,Sun
avin_novor,75,Successful game vote,vodVote,1769924844565,2026-02-01,Sun
viktor123545,75,Successful game vote,vodVote,1769924846033,2026-02-01,Sun
ivanpetrov32,75,Successful game vote,vodVote,1769924849245,2026-02-01,Sun
madagascaradam,75,Successful game vote,vodVote,1769924882408,2026-02-01,Sun
johnnymnemonics,75,Successful game vote,vodVote,1769925007989,2026-02-01,Sun
johnnymnemonics,175,AI Art word: notable,art,1769925087539,2026-02-01,Sun
alphonsoe,253,AI Art word: napkins,art,1769925091634,2026-02-01,Sun
avin_novor,234,AI Art word: napping,art,1769925131792,2026-02-01,Sun
ivanpetrov32,250,reacted ✅ to announcement 1467205350657884192,discoReact,1769925451507,2026-02-01,Sun
alfims,86,Starting a new game with !v###,vodVote,1769925664461,2026-02-01,Sun
alfims,75,Successful game vote,vodVote,1769925677788,2026-02-01,Sun
